"City","GEOID","Collisions","CasualtiesCount","TotalInjuries","TotalDeaths","PedeCasualtiesCount","PedeInjuries","PedeDeaths","CyclCasualtiesCount","CyclInjuries","CyclDeaths","MotrCasualtiesCount","MotrInjuries","MotrDeaths"
"LA","6037980015",81,10,9,1,4,3,1,3,3,0,3,3,0
"LA","6037980019",12,1,1,0,0,0,0,0,0,0,1,1,0
"LA","6037980020",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037980021",96,8,7,1,4,3,1,1,1,0,3,3,0
"LA","6037980022",69,4,3,1,1,1,0,1,1,0,2,1,1
"LA","6037980023",37,2,2,0,0,0,0,0,0,0,2,2,0
"LA","6037980024",582,83,80,3,25,23,2,27,27,0,31,30,1
"LA","6037980026",2,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037980028",1120,216,210,6,120,116,4,41,39,2,55,55,0
"LA","6037980031",169,10,10,0,5,5,0,4,4,0,1,1,0
"LA","6037980033",8,0,0,0,0,0,0,0,0,0,0,0,0
"NYC","36005000100",4,1,1,0,0,0,0,0,0,0,1,1,0
"NYC","36005000200",145,34,34,0,11,11,0,2,2,0,21,21,0
"NYC","36005000400",218,62,62,0,15,15,0,5,5,0,42,42,0
"NYC","36005001600",346,109,107,2,38,36,2,6,6,0,65,65,0
"NYC","36005001900",2873,715,714,1,47,46,1,20,20,0,648,648,0
"NYC","36005002000",327,108,108,0,35,35,0,2,2,0,71,71,0
"NYC","36005002300",343,106,105,1,27,26,1,7,7,0,72,72,0
"NYC","36005002400",137,32,32,0,4,4,0,0,0,0,28,28,0
"NYC","36005002500",218,86,86,0,38,38,0,14,14,0,34,34,0
"NYC","36005002701",229,85,85,0,26,26,0,7,7,0,52,52,0
"NYC","36005002702",553,180,177,3,29,27,2,4,4,0,147,146,1
"NYC","36005002800",908,316,314,2,10,8,2,5,5,0,301,301,0
"NYC","36005003100",263,52,51,1,9,8,1,5,5,0,38,38,0
"NYC","36005003300",228,84,84,0,9,9,0,7,7,0,68,68,0
"NYC","36005003500",196,48,48,0,10,10,0,6,6,0,32,32,0
"NYC","36005003700",161,68,68,0,24,24,0,10,10,0,34,34,0
"NYC","36005003800",50,17,17,0,3,3,0,1,1,0,13,13,0
"NYC","36005003900",712,244,244,0,55,55,0,26,26,0,163,163,0
"NYC","36005004001",128,32,32,0,10,10,0,1,1,0,21,21,0
"NYC","36005004100",205,80,80,0,24,24,0,5,5,0,51,51,0
"NYC","36005004200",987,324,324,0,56,56,0,10,10,0,258,258,0
"NYC","36005004300",482,174,173,1,63,62,1,21,21,0,90,90,0
"NYC","36005004400",408,105,101,4,21,17,4,11,11,0,73,73,0
"NYC","36005004600",374,109,108,1,17,16,1,3,3,0,89,89,0
"NYC","36005004800",488,133,131,2,30,30,0,11,11,0,93,91,2
"NYC","36005005001",92,26,25,1,12,11,1,2,2,0,12,12,0
"NYC","36005005002",228,57,57,0,24,24,0,8,8,0,25,25,0
"NYC","36005005100",1630,419,418,1,79,78,1,19,19,0,321,321,0
"NYC","36005005200",479,104,103,1,18,17,1,10,10,0,76,76,0
"NYC","36005005300",154,67,67,0,11,11,0,2,2,0,54,54,0
"NYC","36005005400",295,76,75,1,30,29,1,4,4,0,42,42,0
"NYC","36005005600",243,67,67,0,15,15,0,5,5,0,47,47,0
"NYC","36005005902",252,78,77,1,18,18,0,10,9,1,50,50,0
"NYC","36005006000",796,192,192,0,35,35,0,4,4,0,153,153,0
"NYC","36005006100",212,49,49,0,14,14,0,6,6,0,29,29,0
"NYC","36005006200",327,109,109,0,15,15,0,8,8,0,86,86,0
"NYC","36005006300",2210,657,655,2,114,112,2,55,55,0,488,488,0
